correlation,generative_a,estimated_a,generative_sigmasq,estimated_sigmasq
0.9436597436895592,0.983759,0.98814136,0.21832627,0.22660191
0.9653536105845779,0.99709654,0.9915861,0.1655683,0.21519093
0.8971929269108685,0.97780585,0.9769199,0.100634,0.07609507
0.7348405271744844,0.94582605,0.9483475,0.07269824,0.045920927
0.8884982723357236,0.96362126,0.9634988,0.0844358,0.15721184
0.9674190808670531,0.9988515,0.99539894,0.04749737,0.05485166
0.865880161836826,0.9604093,0.9550988,0.30336708,0.26308063
0.7352662708717744,0.95414156,0.94198245,0.13668305,0.20446792
0.7664770672763308,0.970529,0.9431725,0.0610474,0.0880903
0.8852375974239812,0.97610605,0.96150744,0.1366141,0.20482391
0.9648829923972788,0.9962858,0.9844213,0.1736347,0.31888148
0.7859210349542625,0.95500594,0.934074,0.063664116,0.08928509
0.902890874747895,0.9802087,0.9840208,0.0945708,0.1638349
0.7314786642365864,0.92317015,0.93394107,0.28530577,0.24655415
0.7955459494953521,0.95843345,0.9664587,0.099931546,0.14794348
0.9235478909996626,0.9943582,0.98471415,0.11291974,0.08725461
0.9579286591245856,0.99116236,0.9852804,0.2088705,0.26397634
0.9242800739008119,0.9851462,0.97103995,0.1954085,0.24694006
0.8803729185876671,0.9678736,0.9685682,0.20139787,0.26094672
0.9615976161276186,0.9901785,0.9964069,0.17785226,0.2169237
0.8578383311741331,0.98430485,0.9696536,0.084709376,0.093769
0.7161992664638827,0.93499094,0.9465541,0.11223381,0.08582398
0.8725995385279263,0.9668756,0.9669409,0.18075159,0.23427479
0.9606372918779669,0.990111,0.98606294,0.13116948,0.10123132
0.9563123352819737,0.98996127,0.988112,0.10834474,0.14375721
0.9154324014451842,0.9858688,0.98190325,0.05676597,0.0800546
0.8564373445819753,0.96724194,0.9549517,0.18235497,0.23456217
0.9110063775690205,0.9852231,0.9915624,0.0607817,0.06892407
0.9679955095032816,0.9928908,0.98566574,0.15752873,0.28700662
0.7664945638551303,0.9621205,0.932259,0.11290262,0.2613832
0.9584069649931145,0.9878791,0.9889346,0.26858738,0.21872483
0.6286284456685514,0.9417817,0.92191094,0.11528739,0.10604788
0.7490948337111736,0.9471543,0.9265613,0.061047908,0.14573869
0.9137485327597653,0.9909571,0.9901576,0.05324048,0.08770182
0.8174492400398786,0.96517015,0.9597874,0.13881479,0.11117343
0.8096086868493901,0.9555981,0.95684665,0.11742101,0.09094807
0.897969973095606,0.97686565,0.96896666,0.067820355,0.099237785
0.9489655954184952,0.99492264,0.99047333,0.2053681,0.23979591
0.9435195076351214,0.99459875,0.97487587,0.12033044,0.183135
0.9810812393409983,0.99886274,0.9974181,0.06534655,0.06427717
0.8676699085551856,0.96941113,0.9604684,0.12710531,0.12972872
0.9339015709922515,0.9868071,0.9764094,0.08682112,0.12776917
0.6647127294580368,0.943764,0.9490315,0.062266253,0.060290232
0.8899153170424509,0.9665339,0.9709631,0.20097052,0.1290108
0.7503780198364832,0.9446884,0.9442836,0.08668053,0.081160754
0.7468860883977743,0.9573756,0.9678607,0.08824066,0.08486933
0.8476233489317359,0.976574,0.9711624,0.11065312,0.13186386
0.8843216073474574,0.9744983,0.97372156,0.14569248,0.14637204
0.6415842360294779,0.94560206,0.899254,0.053367954,0.118297294
