mu_sigmasq,beta_sigmasq,sigma_mu_x,mu_a,sigma_a,w0,w1,w2,sigma_w0,sigma_w1,sigma_w2,mu_sigmasq_var,beta_sigmasq_var,mu_a_var,sigma_a_var,w0_var,w1_var,w2_var,sigma_w0_var,sigma_w1_var,sigma_w2_var,posterior_q25_mu_sigmasq,posterior_q975_mu_sigmasq,posterior_q25_beta_sigmasq,posterior_q975_beta_sigmasq,posterior_q25_sigma_mu_x,posterior_q975_sigma_mu_x,posterior_q25_mu_a,posterior_q975_mu_a,posterior_q25_sigma_a,posterior_q975_sigma_a,posterior_q25_w0,posterior_q975_w0,posterior_q25_w1,posterior_q975_w1,posterior_q25_w2,posterior_q975_w2,posterior_q25_sigma_w0,posterior_q975_sigma_w0,posterior_q25_sigma_w1,posterior_q975_sigma_w1,posterior_q25_sigma_w2,posterior_q975_sigma_w2,mean_subject_true_a,sd_subject_true_a,mean_subject_true_w0,mean_subject_true_w1,mean_subject_true_w2,sd_subject_true_w0,sd_subject_true_w1,sd_subject_true_w2,num_trials,num_subjects
0.18437253,0.4231982,0.5283247,0.98272806,0.028216721,-0.034571856,0.21503147,-0.012735834,0.9530075,1.0238308,1.0159434,0.000270421,0.0067104846,4.914344e-05,2.940546e-05,0.0045436784,0.00593745,0.005103233,0.0026438877,0.0030665738,0.0029588023,0.1574161544442177,0.21974186711013316,0.2693646177649498,0.5898554801940918,0.4070543751120567,0.6517484262585638,0.9706290394067765,0.9944295465946198,0.017584732035174966,0.037697369139641515,-0.17077743746340274,0.10282103642821312,0.06139773614704609,0.37070923820137974,-0.14500289000570774,0.13624188750982283,0.8562515482306481,1.0588620185852051,0.9238837584853172,1.1432815790176392,0.916411167383194,1.1295290291309357,0.9647243,0.02176031,-0.040628828,0.2128533,-0.017710561,0.95225614,1.0316586,1.008566,500,200
0.20353132,0.42425692,0.51923126,0.96855205,0.019292127,0.018959027,0.3033602,-0.123310156,1.0691911,1.0256041,1.0379267,0.00026075135,0.004553404,1.6834532e-05,3.081706e-05,0.005549435,0.005782197,0.0056129326,0.0030222288,0.002826332,0.0030341712,0.17560163475573062,0.24003832824528218,0.29943812713027,0.5701154470443726,0.4321393556892872,0.6216458082199096,0.9628498837351799,0.9799491912126541,0.011484044906683265,0.03388287434354424,-0.12082064468413592,0.1699264544993638,0.1641121909022331,0.451245354861021,-0.2645346686244011,0.019249488040804816,0.9611853420734405,1.1834522306919097,0.9329407051205635,1.1343240290880203,0.9411120042204857,1.155272126197815,0.964709,0.021483587,0.010740318,0.28625652,-0.12423867,1.0307689,1.0108895,1.0076838,500,200
0.20669167,0.5694772,0.5775254,0.97665524,0.02715214,0.034835868,0.3020577,-0.1640419,0.9860008,0.92298156,1.0572878,0.00019890942,0.012705389,4.8378017e-05,3.2801912e-05,0.005291031,0.0041756225,0.0056343274,0.0030102492,0.00223498,0.002951568,0.18204876743257045,0.23730942979454994,0.36797770112752914,0.7799373045563698,0.459873216599226,0.6956088736653327,0.9660684019327164,0.9914089351892471,0.016208036243915556,0.037499998696148396,-0.10692690536379815,0.17640835493803014,0.1777105439454317,0.42684877067804333,-0.316824671626091,-0.014223875850439082,0.8889503210783005,1.0987001687288285,0.8340137585997581,1.017922791838646,0.9542990162968635,1.1719857990741729,0.9639209,0.021246059,0.016233955,0.29664338,-0.14753678,0.9644039,0.89817053,1.0399737,500,200
0.20118998,0.43566677,0.5310585,0.9682006,0.012745154,0.11645423,0.096190035,-0.061551187,1.0216846,1.0583223,1.0559598,0.00021193066,0.0055621816,3.6544316e-06,5.9259555e-06,0.0053334287,0.0055429265,0.0054846723,0.0028125248,0.0031164123,0.0029386664,0.1755422256886959,0.23271835483610628,0.31108117029070853,0.5901635706424713,0.42524775192141534,0.6402438923716545,0.9643970966339112,0.971914590895176,0.008683583792299032,0.01797542907297611,-0.031977082230150694,0.25419853925704955,-0.06533002536743879,0.23693416714668272,-0.2124867547303438,0.07903511635959141,0.9239585429430008,1.1301157295703887,0.9567940145730972,1.1762877970933914,0.9538241729140282,1.165293538570404,0.9656534,0.020725964,0.108758226,0.090835474,-0.07233445,0.98010296,1.0622944,1.0318723,500,200
0.21371534,0.42519808,0.5489208,0.97581506,0.025978368,-0.02205282,0.11385531,-0.071409486,1.031484,1.0785275,1.1087811,0.00027903577,0.0054546017,5.0119157e-05,3.878049e-05,0.0052668317,0.006128914,0.006610965,0.0026422767,0.0030014387,0.0036701895,0.18565759286284447,0.24998450502753258,0.3023427061736584,0.5913278117775916,0.44885720014572145,0.6568167135119438,0.9657618626952171,0.9923767358064651,0.014155950420536101,0.03859229739755392,-0.16339695267379284,0.11582949422299861,-0.03699399102479219,0.2636641025543212,-0.23394626826047898,0.08261465579271315,0.9361843481659889,1.1372559934854507,0.9792570039629936,1.193396133184433,0.9962811902165413,1.2297587782144546,0.9667233,0.020152744,-0.012572436,0.10832405,-0.07940035,1.0265385,1.0588506,1.0764364,500,200
0.21542011,0.3831163,0.53206694,0.9747807,0.024267282,-0.028459128,0.11612355,-0.18086283,0.9390403,0.9604297,1.0461936,0.00027157165,0.0053981086,4.0697658e-05,3.5736324e-05,0.004786131,0.0047569475,0.005726559,0.0025242958,0.0026661446,0.003103985,0.1856680154800415,0.2481646042317152,0.26944664493203163,0.5458832964301109,0.4357769675552845,0.6360247775912284,0.9662595644593239,0.9912779569625855,0.013990467437542975,0.03633058173581957,-0.16140899322927,0.10779107436537741,-0.022076169960200783,0.25433595031499856,-0.322050491720438,-0.027110591903328908,0.8416848123073578,1.0408418267965316,0.8695653483271599,1.070365759730339,0.9487017229199409,1.1646597295999528,0.9650591,0.019561548,-0.038425114,0.1085992,-0.15974748,0.9480379,0.9272588,1.0302166,500,200
0.2065373,0.5075392,0.54948854,0.97714114,0.031541467,-0.03035776,0.16028397,-0.12165848,1.0060536,1.0033077,1.0274519,0.00026107207,0.006895285,6.8286354e-05,3.6792797e-05,0.005417699,0.0050347284,0.005689852,0.0026853592,0.002787865,0.002941959,0.18036818020045758,0.24293943755328656,0.3669127061963081,0.6838742464780807,0.4423555724322796,0.6514846250414849,0.964048084616661,0.9939550727605819,0.020992688415572048,0.043891629576683036,-0.17694343738257884,0.11860176585614678,0.019932601228356363,0.29420112296938894,-0.27415939792990685,0.023225093632936452,0.9163398340344429,1.1186202049255372,0.9098419472575188,1.1137208849191667,0.9258812740445137,1.133465328812599,0.96402675,0.019732844,-0.035133194,0.1483575,-0.10684833,1.0126343,0.99834204,0.99910593,500,200
0.2171548,0.60627115,0.47429577,0.9712453,0.029167417,0.10219054,0.26101282,-0.06609296,0.95123774,1.0198997,0.9464279,0.0002347727,0.015505599,6.842198e-05,5.1142135e-05,0.0047870525,0.0051129395,0.00469355,0.002514324,0.0030257788,0.0024636404,0.19356981217861174,0.2513219490647316,0.4211494967341423,0.9106212079524993,0.38978691175580027,0.5699919000267982,0.9605391964316368,0.9910027250647545,0.017853257106617094,0.04345871610566974,-0.03532637413591146,0.23243487849831576,0.11921914368867874,0.3976090356707573,-0.2064016606658697,0.06638137754052877,0.8553048551082612,1.0514396876096725,0.9230031639337539,1.1321792393922805,0.8465015709400177,1.046621963381767,0.96215445,0.022241477,0.106495015,0.25757822,-0.07442394,0.9435693,1.0161797,0.93736416,500,200
0.19822505,0.59310687,0.5389178,0.9682344,0.016972924,0.090466075,0.13846149,-0.041472536,1.0014563,1.0503165,1.0314639,0.00014021753,0.02037701,8.633856e-06,1.4188277e-05,0.0054673827,0.006022695,0.005575087,0.002719647,0.0028438803,0.0031533663,0.17721922583878041,0.22267607226967812,0.3950876422226429,0.9286456927657127,0.444693274050951,0.6362362757325172,0.9638795778155327,0.9757806077599526,0.010872933710925282,0.02580868718214333,-0.057969753816723826,0.23451268672943112,-0.017325277253985406,0.28422882556915285,-0.18530566431581974,0.09783670473843813,0.9086335450410843,1.1071694701910018,0.9497893646359443,1.1583239793777464,0.9302027240395546,1.15309636592865,0.9648059,0.021119857,0.057526555,0.13176031,-0.059963107,0.9989071,1.0282128,1.0127304,500,200
0.21854018,0.5360904,0.583458,0.97468084,0.026955526,0.040521577,0.22683457,0.024242662,1.0149345,1.0292922,0.96618456,0.00020348516,0.008392962,5.5938825e-05,3.448913e-05,0.0049138786,0.0055186353,0.0051130773,0.0030718062,0.0028855726,0.0025326074,0.19493244364857673,0.24892317987978457,0.39005228206515313,0.7324359625577926,0.46802119389176366,0.7006698504090308,0.9644634842872619,0.9931994870305061,0.017908659437671302,0.03914415957406163,-0.10638201292604207,0.17228625304996958,0.08770789541304112,0.37597211897373195,-0.11041302215307951,0.16109145507216452,0.9146273419260978,1.133129969239235,0.9282137766480446,1.1404331564903258,0.8744356319308281,1.0689202457666398,0.9661183,0.020902717,0.05916884,0.2253207,0.022428555,0.98972344,1.0221931,0.941034,500,200
0.20907047,0.45389968,0.54716897,0.9745374,0.027730383,0.025264913,0.29513648,-0.18889177,1.060392,1.0613873,1.0816932,0.00023829521,0.006125911,5.717473e-05,3.8397553e-05,0.0060128197,0.005237242,0.0061754836,0.0031190894,0.003253689,0.0031062847,0.180625044927001,0.24237568378448485,0.32627427875995635,0.6324161887168884,0.44404188469052314,0.6543659716844559,0.9638986691832543,0.9926330327987671,0.016484325844794513,0.04058337043970823,-0.12500259336084127,0.17615216001868247,0.15613583400845527,0.43455865681171413,-0.3511026009917259,-0.04848562963306909,0.9620262965559959,1.1776686877012252,0.9578371614217758,1.1776775538921356,0.9709389314055443,1.193076941370964,0.96421295,0.021801176,0.055597205,0.30122498,-0.17522073,1.0572115,1.0757939,1.0517788,500,200
0.20920768,0.7429856,0.54542094,0.96844476,0.01582522,0.009892514,0.23952661,-0.11131934,1.0557015,1.0274886,0.99673563,0.00014016326,0.01184217,6.5440054e-06,1.0174614e-05,0.0057700076,0.0052608713,0.0045705377,0.0031183856,0.0029426932,0.0026973304,0.18633001670241356,0.23422429785132406,0.5581739574670792,0.9739938184618949,0.4439689263701439,0.6494988098740577,0.9641759634017945,0.9745799139142036,0.010817329515703022,0.02293604239821434,-0.13184317648410798,0.16401040367782113,0.09425264149904251,0.37723517194390294,-0.2438548982143402,0.012423290684819151,0.9569178685545922,1.1763223201036452,0.9290604367852211,1.140559485554695,0.8986325040459633,1.0991452485322952,0.96623677,0.019708471,0.005162182,0.24075039,-0.117115565,1.0336607,1.0009336,0.9775156,500,200
0.24386573,0.5091334,0.5901953,0.96996206,0.029855631,0.031669617,0.1783874,-0.1711239,0.94444036,0.98093486,0.9858658,0.00038512744,0.011097244,8.071498e-05,6.240962e-05,0.004431058,0.004810796,0.0049321977,0.0022911325,0.0024122968,0.0027283055,0.20896185599267483,0.2843512766063213,0.33261960819363595,0.7229067891836166,0.4576254941523075,0.7143676146864891,0.9582443282008171,0.991287712752819,0.01575024048797786,0.045819863025099036,-0.09844851251691579,0.15247296914458272,0.04035227857530117,0.31839715838432314,-0.3098157405853271,-0.0378312520682812,0.8586676895618439,1.043724066019058,0.892188036441803,1.0854541331529617,0.8868720918893814,1.0938180834054947,0.9645819,0.019745506,0.048087504,0.18413061,-0.16322902,0.93416387,0.97270495,0.9825157,500,200
