correlation,rmse,generative_a,estimated_a,generative_sigmasq,estimated_sigmasq,generative_mu_x,estimated_mu_x
0.8249062436249746,0.7394547,0.95634824,0.9591037,0.18388453,0.25433472,0.23507866,0.05570704
0.8371055884223537,0.88216406,0.933016,0.96278703,0.41616783,0.2473081,-0.8359628,-0.29402098
0.9478717914871658,1.2172177,0.99369484,0.98870915,0.15405521,0.19948481,-0.06160736,0.24212004
0.8446511226044904,0.5663341,0.96316665,0.96264553,0.07700465,0.10644062,0.44370726,0.5206112
0.8813242292969171,0.79243207,0.9567475,0.96441925,0.21814696,0.29062206,0.42423132,0.61544156
0.9090529802119209,0.8906603,0.99403054,0.98197955,0.1777411,0.23063423,1.037812,0.5794231
0.9209259237036949,0.89090174,0.980386,0.9843506,0.17653297,0.18671551,0.011214097,0.50122964
0.8900975123900494,0.7684859,0.9510794,0.97226596,0.20616277,0.13685887,-0.58545303,-0.42675886
0.8519603038412152,0.7896371,0.9496039,0.9726894,0.26171643,0.13631266,-0.8872651,-0.2581927
0.9318364633458532,0.91863346,0.97632146,0.97649604,0.28773668,0.23877549,0.9012087,0.044825677
0.7993162852651411,0.7707401,0.95708615,0.9564035,0.15040746,0.13452794,-0.39796072,0.02052901
0.7960036000144,1.0016203,0.9570382,0.9599893,0.30083162,0.26706776,0.19725952,0.68468887
0.9520204480817922,0.94123685,0.9889175,0.9864951,0.1923638,0.21202284,-0.14226554,0.12575307
0.839444637778551,0.7770544,0.9906118,0.9792391,0.13911153,0.15487513,0.41850907,0.3371669
0.7756471985887944,0.6943738,0.96214265,0.9663989,0.104792,0.17754962,-0.22017147,-0.15277024
0.9352730850923403,0.9887751,0.980225,0.97253436,0.28040045,0.50788844,0.58282673,0.14586164
0.7358144312577249,0.5937157,0.9612019,0.95383906,0.07639156,0.10780883,-0.117639564,0.21421155
0.7216519746078983,0.8625879,0.93974,0.96312493,0.19836222,0.098944426,0.073717095,-0.3129364
0.736625538502154,0.72448164,0.9597669,0.95537746,0.18018103,0.1497874,-0.095611386,0.07447759
0.8734137976551906,0.6780941,0.98217815,0.97112966,0.053245943,0.15704486,-0.026585357,0.0395399
0.8610485641942567,0.7063935,0.9528668,0.96775657,0.13577557,0.16220517,-0.47466516,-0.2284149
0.7275602222408889,0.62216336,0.95585746,0.943586,0.10332652,0.113280006,0.21899582,-0.24688092
0.9146488425953703,0.6476354,0.9936131,0.985669,0.061462704,0.08341605,-1.217336,-0.7032902
0.890065832263329,0.7699796,0.9742661,0.96501666,0.21207625,0.3187442,-0.011194445,0.12019204
0.8051423565694262,0.5692649,0.957168,0.96509,0.09666156,0.124217205,0.048564732,-0.0010940338
0.6581834327337309,0.4612556,0.96555394,0.94735265,0.064285144,0.1095848,-0.17483436,0.043873377
0.49009520838083354,0.55730027,0.91250145,0.94922054,0.08198271,0.07261432,0.10134088,0.19678082
0.8858363433453733,1.0946461,0.98026013,0.9734661,0.3002677,0.3484007,-0.14664842,0.27668065
0.717443221772887,0.5010163,0.9366911,0.95587265,0.07470638,0.08654057,0.38327345,0.051884413
0.9234867339469357,0.7384205,0.9529581,0.9662107,0.22601442,0.1809099,-0.27005658,-0.23040745
0.8698512234048936,0.8053553,0.99071366,0.9698523,0.21305718,0.22290212,-0.46686497,-0.10281313
0.8882487369949479,0.80224776,0.96449,0.97691935,0.274783,0.2663228,0.21424277,0.12821503
0.8437208788835154,0.6975462,0.964764,0.9698253,0.14560513,0.122461185,0.12608622,0.11186039
0.8159582398329593,0.6214882,0.94275993,0.964019,0.1048501,0.118048534,-0.14675075,-0.028506003
0.75338307753231,0.773936,0.9755303,0.96742,0.11760954,0.09582681,0.6649196,0.6630104
0.8109312757251028,1.1300038,0.9871335,0.9854482,0.37241942,0.1190221,-0.20968378,-0.46071386
0.9331753807015228,0.6683387,0.9921358,0.9795175,0.08442781,0.16722023,-0.4306739,-0.41712284
0.9445483541934167,0.80696166,0.98259777,0.98464155,0.15357111,0.21898752,-0.8117301,-0.15519695
0.8670191160764643,0.75837,0.9800787,0.9691482,0.16169044,0.15550375,0.41868126,0.72924346
0.7877473749895,0.5741783,0.9389402,0.95812505,0.09978474,0.095742024,-0.47789705,-0.048394974
0.7393852615410461,0.7546802,0.96964365,0.97873896,0.081820756,0.12624188,-0.83887595,-0.55145264
0.8781840567362269,1.0151117,0.9668599,0.9617286,0.51733273,0.33968148,0.14783385,-0.13646252
0.7477014868059473,0.73283815,0.9355888,0.9535136,0.2024319,0.17360887,-0.855133,-0.36530998
0.9352297889191558,1.1214198,0.9574155,0.9715015,0.5051887,0.48415536,0.22876734,-0.005155031
0.8958514874059497,0.8310249,0.9757611,0.9626471,0.2486623,0.2566302,-0.17496094,-0.00014477874
0.8506683306733227,0.52506703,0.9722038,0.963695,0.082109585,0.10448499,-0.28743696,-0.67887753
0.6385272581090324,0.61393094,0.91685414,0.9463115,0.13776676,0.0797192,0.3961317,0.150262
0.9311442045768181,0.58293366,0.9741541,0.97564214,0.061579265,0.13652825,0.25091547,0.23150836
0.5939551438205752,0.5953664,0.9059326,0.9490428,0.13319297,0.08525471,-1.5075035,-1.0906551
0.7454358777435109,0.93225706,0.91640186,0.9432876,0.35078338,0.37492025,0.43385503,0.33582526
0.8336847107388429,0.5337384,0.962257,0.937447,0.07714125,0.1532586,-0.48110437,-0.14615494
0.7429267157068628,0.65340024,0.9670718,0.9539772,0.08607633,0.12789722,0.21402873,0.36931396
0.8292796371185485,0.6695465,0.9936069,0.97047544,0.12485739,0.1439687,-0.293068,-0.38801286
0.8872037728150911,0.8003726,0.9839941,0.9670313,0.21168295,0.28844002,-0.5086233,-0.33476144
0.8322603530414121,0.67113155,0.9564842,0.95787776,0.07654506,0.1770294,-0.09239524,0.33529836
0.9057739910959645,0.76035845,0.9683729,0.9671081,0.1765051,0.29739308,0.15304527,0.43448567
0.9035249900999603,0.6310185,0.97706157,0.96377164,0.103332385,0.15592933,0.9966512,0.16292384
0.8342014808059232,0.7565154,0.968905,0.95602745,0.21899061,0.20908754,-0.29954433,-0.028928626
0.8860065520262079,0.8160088,0.9901441,0.96826434,0.1784751,0.20329982,-0.28724068,-0.011564194
0.958066840267361,0.9351042,0.9881183,0.98704827,0.18624261,0.20517494,0.24764203,0.19614884
0.7952821571286286,0.58508193,0.9544096,0.970877,0.10085183,0.09352353,0.23283048,-0.36252153
0.7341851127404508,0.5407386,0.9662488,0.95815074,0.04714951,0.09522335,-0.1042536,0.057970334
0.8535412381649525,0.73015165,0.9639701,0.95665663,0.2510646,0.27611443,0.2612861,0.36030343
0.7582621050484202,0.92851746,0.96794695,0.95776117,0.19493555,0.16183503,0.55320716,0.25169033
0.8835339661358645,0.6013292,0.9752604,0.96881497,0.07152021,0.12668529,-0.37515533,-0.1967873
0.9026068424273698,1.020561,0.9846628,0.9745024,0.18761249,0.36664888,-0.89191055,-0.31352177
0.914495913983656,1.2815791,0.97239363,0.9778636,0.5814647,0.29046756,-0.24139117,0.062008414
0.669685622742491,0.693473,0.9576973,0.9482764,0.09057203,0.12102083,-0.012906695,-0.26679757
0.8816943107772431,0.8718551,0.9862433,0.9640579,0.15343107,0.3524498,0.64781797,0.5706442
0.9516096624386498,0.9031502,0.9771065,0.973864,0.20822015,0.5415798,0.66491926,0.23102857
0.9242371689486757,1.4133519,0.9805708,0.9667571,0.19550592,0.92316985,0.4658105,-0.28188062
0.7536796227184909,0.8230731,0.9463601,0.95601493,0.18792067,0.20951945,0.6856632,0.6034124
0.900445873783495,1.2744877,0.9844144,0.9721103,0.37962767,0.28387928,0.2085369,0.21920787
0.30717866871467486,0.74096096,0.93166804,0.9394941,0.08174038,0.093897685,0.2286527,0.2568592
0.8473399013596055,0.55131614,0.94287103,0.9515635,0.1278853,0.1375449,0.27524576,-0.0036646416
0.9105382021528086,1.3658206,0.9801941,0.98836505,0.36133814,0.2899309,0.16170734,0.36598572
0.8784181056724226,0.49443865,0.96276027,0.96830595,0.06149307,0.1385647,-0.2737409,-0.2168512
0.9135557822231289,0.88380504,0.95688534,0.9606038,0.30884805,0.4378664,0.016876932,0.3531153
0.6783565694262776,0.787616,0.96142656,0.9582302,0.11211413,0.15828212,-0.044805065,-0.19293348
0.7590447001788007,0.6822597,0.9741127,0.9641346,0.117563106,0.124063455,0.23812303,-0.0031999722
0.8379041196164785,0.7598063,0.9766986,0.98235756,0.10230192,0.15616181,-0.10356689,-0.28475827
0.9302778971115885,0.97803426,0.99219245,0.99086905,0.20536174,0.1428982,-0.22361244,-0.074663214
0.9584242496969988,0.85543734,0.99444026,0.98406065,0.21082664,0.3259405,0.39242497,-0.01102999
