correlation,generative_a,estimated_a,generative_sigmasq,estimated_sigmasq
0.5347218508874035,0.9389019,0.93115246,0.06511029,0.08628977
0.8814966459865838,0.98461425,0.9760836,0.1492267,0.22437079
0.7320983523934095,0.98203015,0.98116386,0.063986324,0.059442997
0.9742796731186923,0.99389803,0.9963024,0.08271422,0.060726974
0.6903128412513649,0.97263443,0.95887226,0.11726658,0.0756324
0.7232181248724995,0.97556883,0.96597415,0.055680774,0.1979166
0.8417257029028116,0.95909184,0.93171793,0.116701,0.05573976
0.8924267697070788,0.96994406,0.98061204,0.07622806,0.1296016
0.9119851199404797,0.9933122,0.97431153,0.20193015,0.49081823
0.8575925503702014,0.9565178,0.9777051,0.08086346,0.06351575
0.8770285961143844,0.97749186,0.9874309,0.16461092,0.12235094
0.655188028752115,0.95306426,0.9650886,0.07238172,0.1406414
0.9094227736910947,0.99892724,0.98876655,0.14225714,0.15323667
0.8536314785259141,0.98293585,0.961041,0.036758028,0.10698972
0.8857213348853394,0.9773338,0.9613048,0.123840146,0.17824692
0.9207506270025079,0.9884912,0.9706691,0.11814971,0.11714669
0.9004538418153671,0.9984709,0.99248254,0.04064884,0.059698574
0.8643066252265009,0.9755907,0.98201126,0.16225857,0.18341042
0.7931774447097788,0.9662431,0.96823,0.091288455,0.11682118
0.7397392149568598,0.96080816,0.9574517,0.10810985,0.06490969
0.8118503834015335,0.97261244,0.9551052,0.073206685,0.11935607
0.9223237852951411,0.9658892,0.98617864,0.20517302,0.53181547
0.8457871911487645,0.94157225,0.9429756,0.09378445,0.09716568
0.8742268249072995,0.98190993,0.9679185,0.122508414,0.13295253
0.7547769071076283,0.9705147,0.92905354,0.071091555,0.118083276
0.8434283657134628,0.9644773,0.941833,0.08283826,0.17532119
0.9597570230280921,0.9987296,0.9753491,0.09305605,0.1268385
0.9290013800055199,0.9968421,0.98272276,0.065624535,0.15112136
0.9026169224676899,0.9723716,0.9734129,0.07091469,0.045581583
0.7669054996219985,0.9865995,0.96114534,0.07986572,0.09005692
0.8415235260941043,0.9754085,0.97578865,0.059300397,0.09207451
0.7145479461917847,0.97507113,0.95978224,0.045960292,0.046205565
0.9321486565946263,0.98410803,0.9793734,0.07627158,0.12181674
0.9525877143508574,0.99723935,0.99297374,0.16032033,0.08166591
0.8759588638354553,0.9791272,0.97888976,0.19509767,0.13777056
0.6042050088200351,0.93105435,0.94678444,0.06836246,0.057024296
0.9528860835443341,0.99601096,0.9907746,0.07464778,0.1675142
0.8899814479257917,0.9914339,0.98003197,0.08126973,0.10746763
0.9772853491413965,0.998571,0.9761272,0.111032665,0.23796079
0.934810555242221,0.9916898,0.9751447,0.18226716,0.104433894
0.8514888459553838,0.98773366,0.98232347,0.13741346,0.06502781
0.8887007068028272,0.9919539,0.97889936,0.043254066,0.059702773
0.9208973155892624,0.97948474,0.961162,0.47139314,0.32109988
0.8843417133668534,0.99706703,0.98185,0.1346867,0.091102235
0.8214631898527592,0.9925777,0.9789962,0.06761565,0.044309214
0.9401971367885471,0.99022084,0.9928057,0.10105678,0.12782072
